"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2011","22,466.57","22,186.48","23,273.80","21,727.29","18.39B","1.89%"
"01/01/2011","22,050.45","19,983.83","22,459.34","19,982.97","19.74B","9.31%"
"12/01/2010","20,173.29","19,210.85","20,911.27","19,169.20","14.07B","5.59%"
"11/01/2010","19,105.71","21,561.82","21,642.10","19,006.90","18.03B","-10.93%"
"10/01/2010","21,450.61","20,549.05","21,669.43","19,992.69","12.96B","4.61%"
"09/01/2010","20,505.20","19,795.85","21,142.49","19,591.21","16.07B","3.90%"
"08/01/2010","19,734.57","21,132.24","21,633.03","19,286.54","13.93B","-6.12%"
"07/01/2010","21,021.56","18,999.92","21,435.67","18,807.18","16.55B","8.85%"
"06/01/2010","19,311.75","19,458.55","21,075.20","18,191.02","26.72B","-1.19%"
"05/01/2010","19,543.97","21,518.66","21,743.41","18,044.47","34.05B","-9.36%"
"04/01/2010","21,562.48","22,962.51","23,593.10","21,281.11","16.82B","-5.63%"
"03/01/2010","22,847.97","21,272.91","23,247.22","21,006.51","15.00B","8.45%"
"02/01/2010","21,068.32","21,689.12","22,502.60","20,465.51","16.63B","-3.78%"
"01/01/2010","21,896.29","23,359.89","24,058.76","21,478.10","13.22B","-5.82%"
"12/01/2009","23,248.39","22,125.74","23,462.94","22,066.33","8.71B","6.02%"
"11/01/2009","21,928.16","21,882.14","23,708.35","21,394.05","14.38B","-0.60%"
"10/01/2009","22,060.33","23,472.73","24,558.46","21,964.89","15.80B","-6.02%"
"09/01/2009","23,472.73","22,420.43","23,775.18","21,530.45","18.88B","4.69%"
"08/01/2009","22,420.43","20,575.52","22,908.99","20,575.52","15.61B","8.97%"
"07/01/2009","20,575.52","19,063.12","20,861.15","17,626.08","14.31B","7.93%"
"06/01/2009","19,063.12","19,889.79","20,600.06","18,407.49","15.89B","-4.13%"
"05/01/2009","19,884.00","19,371.00","20,702.00","18,752.00","15.33B","3.69%"
"04/01/2009","19,177.00","15,785.00","19,375.00","15,470.00","18.59B","20.80%"
"03/01/2009","15,875.00","14,902.00","16,614.00","12,332.00","16.49B","3.88%"
"02/01/2009","15,282.00","17,758.00","18,744.00","15,018.00","12.14B","-14.79%"
"01/01/2009","17,934.00","19,704.00","20,996.00","16,716.00","11.22B","-7.84%"
"12/01/2008","19,460.00","19,829.00","19,936.00","17,803.00","8.51B","-2.63%"
"11/01/2008","19,985.00","21,700.00","23,304.00","18,290.00","11.74B","-6.47%"
"10/01/2008","21,367.00","25,963.00","26,387.00","18,589.00","20.09B","-16.31%"
"09/01/2008","25,530.00","28,594.00","29,412.00","24,916.00","21.93B","-11.32%"
"08/01/2008","28,789.00","28,108.00","29,598.00","27,529.00","12.94B","1.62%"
"07/01/2008","28,331.00","29,258.00","29,344.00","26,464.00","16.40B","-3.46%"
"06/01/2008","29,346.00","33,154.00","33,154.00","28,895.00","16.63B","-11.67%"
"05/01/2008","33,225.00","34,349.00","34,711.00","32,445.00","20.84B","-2.15%"
"04/01/2008","33,954.00","31,485.00","34,185.00","31,485.00","20.76B","7.39%"
"03/01/2008","31,616.00","33,133.00","33,444.00","30,062.00","19.54B","-5.87%"
"02/01/2008","33,587.00","34,462.00","34,930.00","32,540.00","15.23B","-1.88%"
"01/01/2008","34,230.00","38,447.00","38,544.00","32,140.00","18.86B","-11.22%"
"12/01/2007","38,554.00","38,828.00","39,858.00","37,858.00","11.44B","-1.08%"
"11/01/2007","38,975.00","40,544.00","40,611.00","37,184.00","18.71B","-3.79%"
"10/01/2007","40,512.00","39,789.00","41,158.00","38,998.00","16.72B","1.56%"
