"Date","Price","Open","High","Low","Change %"
"02/01/2016","1.407","1.407","1.407","1.407","-1.88%"
"01/01/2016","1.434","1.434","1.434","1.434","-10.43%"
"12/01/2015","1.601","1.601","1.601","1.601","12.19%"
"11/01/2015","1.427","1.427","1.427","1.427","-4.87%"
"10/01/2015","1.500","1.500","1.500","1.500","-13.19%"
"09/01/2015","1.728","1.728","1.728","1.728","-10.74%"
"08/01/2015","1.936","1.936","1.936","1.936","8.58%"
"07/01/2015","1.783","1.783","1.783","1.783","-22.58%"
"06/01/2015","2.303","2.303","2.303","2.303","24.28%"
"05/01/2015","1.853","1.853","1.853","1.853","21.75%"
"04/01/2015","1.522","1.522","1.522","1.522","21.47%"
"03/01/2015","1.253","1.253","1.253","1.253","-6.63%"
"02/01/2015","1.342","1.342","1.342","1.342","-19.83%"
"01/01/2015","1.674","1.674","1.674","1.674","-10.91%"
"12/01/2014","1.879","1.879","1.879","1.879","-8.16%"
"11/01/2014","2.046","2.046","2.046","2.046","-13.96%"
"10/01/2014","2.378","2.378","2.378","2.378","0.55%"
"09/01/2014","2.365","2.365","2.365","2.365","-2.87%"
"08/01/2014","2.435","2.435","2.435","2.435","-9.71%"
"07/01/2014","2.697","2.697","2.697","2.697","-1.53%"
"06/01/2014","2.739","2.739","2.739","2.739","-7.62%"
"05/01/2014","2.965","2.965","2.965","2.965","-3.70%"
"04/01/2014","3.079","3.079","3.079","3.079","-6.73%"
"03/01/2014","3.301","3.301","3.301","3.301","-5.12%"
"02/01/2014","3.479","3.479","3.479","3.479","-8.06%"
"01/01/2014","3.784","3.784","3.784","3.784","-7.39%"
"12/01/2013","4.086","4.086","4.086","4.086","0.86%"
"11/01/2013","4.051","4.051","4.051","4.051","-2.20%"
"10/01/2013","4.142","4.142","4.142","4.142","-9.80%"
"09/01/2013","4.592","4.592","4.592","4.592","4.74%"
"08/01/2013","4.384","4.384","4.384","4.384","-0.66%"
"07/01/2013","4.413","4.413","4.413","4.413","-2.80%"
"06/01/2013","4.540","4.540","4.540","4.540","9.53%"
"05/01/2013","4.145","4.145","4.145","4.145","6.58%"
"04/01/2013","3.889","3.889","3.889","3.889","-17.92%"
"03/01/2013","4.738","4.738","4.738","4.738","-0.59%"
"02/01/2013","4.766","4.766","4.766","4.766","10.76%"
"01/01/2013","4.303","4.303","4.303","4.303","-5.01%"
"12/01/2012","4.530","4.530","4.530","4.530","0.47%"
"11/01/2012","4.509","4.509","4.509","4.509","-9.11%"
"10/01/2012","4.961","4.961","4.961","4.961","-3.93%"
"09/01/2012","5.164","5.164","5.164","5.164","-11.61%"
"08/01/2012","5.842","5.842","5.842","5.842","-3.99%"
"07/01/2012","6.085","6.085","6.085","6.085","5.19%"
"06/01/2012","5.785","5.785","5.785","5.785","-4.09%"
"05/01/2012","6.032","6.032","6.032","6.032","9.39%"
"04/01/2012","5.514","5.514","5.514","5.514","7.70%"
"03/01/2012","5.120","5.120","5.120","5.120","-1.39%"
"02/01/2012","5.192","5.192","5.192","5.192","-13.00%"
"01/01/2012","5.968","5.968","5.968","5.968","-15.17%"
"12/01/2011","7.035","7.035","7.035","7.035","-0.62%"
"11/01/2011","7.079","7.079","7.079","7.079","15.80%"
"10/01/2011","6.113","6.113","6.113","6.113","10.24%"
"09/01/2011","5.545","5.545","5.545","5.545","8.11%"
"08/01/2011","5.129","5.129","5.129","5.129","-13.27%"
"07/01/2011","5.914","5.914","5.914","5.914","20.94%"
"06/01/2011","4.890","4.890","4.890","4.890","2.30%"
"05/01/2011","4.780","4.780","4.780","4.780","0.99%"
"04/01/2011","4.733","4.733","4.733","4.733","-1.89%"
"03/01/2011","4.824","4.824","4.824","4.824","-0.31%"
"02/01/2011","4.839","4.839","4.839","4.839","2.46%"
"01/01/2011","4.723","4.723","4.723","4.723","-2.42%"
"12/01/2010","4.840","4.840","4.840","4.840","3.37%"
"11/01/2010","4.682","4.682","4.682","4.682","20.17%"
"10/01/2010","3.896","3.896","3.896","3.896","0.93%"
"09/01/2010","3.860","3.860","3.860","3.860","2.74%"
"08/01/2010","3.757","3.757","3.757","3.757","-4.96%"
"07/01/2010","3.953","3.953","3.953","3.953","-3.40%"
"06/01/2010","4.092","4.092","4.092","4.092","-1.52%"
"05/01/2010","4.155","4.155","4.155","4.155","4.29%"
"04/01/2010","3.984","3.984","3.984","3.984","2.89%"
"03/01/2010","3.872","3.872","3.872","3.872","-3.37%"
"02/01/2010","4.007","4.007","4.007","4.007","-2.48%"
"01/01/2010","4.109","4.109","4.109","4.109","-1.04%"
"12/01/2009","4.152","4.152","4.152","4.152","3.33%"
"11/01/2009","4.018","4.018","4.018","4.018","1.77%"
"10/01/2009","3.948","3.948","3.948","3.948","-1.40%"
"09/01/2009","4.004","4.004","4.004","4.004","-1.72%"
"08/01/2009","4.074","4.074","4.074","4.074","-1.97%"
"07/01/2009","4.156","4.156","4.156","4.156","-6.59%"
"06/01/2009","4.449","4.449","4.449","4.449","-3.83%"
"05/01/2009","4.626","4.626","4.626","4.626","8.16%"
"04/01/2009","4.277","4.277","4.277","4.277","-2.51%"
"03/01/2009","4.387","4.387","4.387","4.387","-5.64%"
"02/01/2009","4.649","4.649","4.649","4.649","-0.81%"
"01/01/2009","4.687","4.687","4.687","4.687","7.11%"
"12/01/2008","4.376","4.376","4.376","4.376","-1.86%"
"11/01/2008","4.459","4.459","4.459","4.459","-9.96%"
"10/01/2008","4.952","4.952","4.952","4.952","1.25%"
"09/01/2008","4.891","4.891","4.891","4.891","1.41%"
"08/01/2008","4.823","4.823","4.823","4.823","-2.78%"
"07/01/2008","4.961","4.961","4.961","4.961","-5.09%"
"06/01/2008","5.227","5.227","5.227","5.227","7.42%"
"05/01/2008","4.866","4.866","4.866","4.866","6.55%"
"04/01/2008","4.567","4.567","4.567","4.567","3.33%"
"03/01/2008","4.420","4.420","4.420","4.420","2.55%"
"02/01/2008","4.310","4.310","4.310","4.310","0.07%"
"01/01/2008","4.307","4.307","4.307","4.307","-7.97%"
"12/01/2007","4.680","4.680","4.680","4.680","4.25%"
"11/01/2007","4.489","4.489","4.489","4.489","-1.56%"
"10/01/2007","4.560","4.560","4.560","4.560","-0.76%"
"09/01/2007","4.595","4.595","4.595","4.595","1.48%"
"08/01/2007","4.528","4.528","4.528","4.528","-1.89%"
"07/01/2007","4.615","4.615","4.615","4.615","-3.73%"
"06/01/2007","4.794","4.794","4.794","4.794","3.99%"
"05/01/2007","4.610","4.610","4.610","4.610","5.44%"
"04/01/2007","4.372","4.372","4.372","4.372","2.13%"
"03/01/2007","4.281","4.281","4.281","4.281","1.98%"
"02/01/2007","4.198","4.198","4.198","4.198","-2.82%"
"01/01/2007","4.320","4.320","4.320","4.320","2.39%"
"12/01/2006","4.219","4.219","4.219","4.219","7.22%"
"11/01/2006","3.935","3.935","3.935","3.935","-1.33%"
"10/01/2006","3.988","3.988","3.988","3.988","-0.08%"
"09/01/2006","3.991","3.991","3.991","3.991","-1.09%"
